team,position,full_name,gsis_id,week,targets,air_yards,snap_share,target_share,air_yards_share,total_touchdowns,delta_targets,rush_attempts,rush_ypa,rush_share,targets_3wk_avg,targets_trend_3v7,air_yards_3wk_avg,air_yards_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,gadget_usage_3wk_avg,yards_per_target,rec_td_rate,catch_rate,fp_per_target,percent_share_of_intended_air_yards,avg_separation,avg_cushion,avg_yac_above_expectation,racr,team_implied_points,is_favored,abs_spread,def_wr_ftps,def_wr_targets,def_wr_yards_per_target,years_exp_filled,is_rookie,is_second_year,is_undrafted,draft_number_filled
NO,WR,Brandin Cooks,00-0031236,1,4.0,18.0,0.76,0.08695652173913043,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0,0.76,0.0,5.6,0.0,0.0,0.0,0.0,6.5,0.0,0.75,1.4,,,,,1.4444444444444444,19.5,1,6.0,18.15,18.69,7.852862493311932,11,0,0,0,20.0
NO,WR,Brandin Cooks,00-0031236,4,4.0,33.0,0.9,0.14285714285714285,,0.0,-1.0,0.0,0.0,0.0,3.6666666666666665,-0.08333333333333348,47.666666666666664,7.416666666666664,0.7600000000000001,1.1102230246251565e-16,5.066666666666666,-0.13333333333333375,0.0,0.0,0.0,5.5,0.0,0.75,1.3,,,,,0.6666666666666666,32.75,1,15.5,17.85,15.46,7.8117723156532985,11,0,0,0,20.0
NO,WR,Brandin Cooks,00-0031236,3,5.0,85.0,0.7,0.12195121951219512,21.399960228402605,0.0,3.0,0.0,0.0,0.0,3.6666666666666665,0.0,42.666666666666664,0.0,0.7133333333333334,0.0,5.2,0.0,0.0,0.0,0.0,4.8,0.0,0.6,1.08,21.399960228402605,3.2705027603229873,5.799999999999999,-0.28533095231324523,0.2823529411764706,32.25,1,7.5,17.85,15.46,7.8117723156532985,11,0,0,0,20.0
NO,WR,Brandin Cooks,00-0031236,5,1.0,5.0,0.45,0.03125,,0.0,-3.0,0.0,0.0,0.0,3.3333333333333335,0.1333333333333333,41.0,7.799999999999997,0.6833333333333332,-0.014666666666666828,4.033333333333334,-0.42666666666666586,0.0,0.0,0.0,5.0,0.0,1.0,1.5,,,,,1.0,19.25,0,1.5,23.23,19.85,8.33954659949622,11,0,0,0,20.0
NO,WR,Brandin Cooks,00-0031236,6,1.0,21.0,0.64,0.038461538461538464,,0.0,0.0,0.0,0.0,0.0,2.0,-0.8333333333333335,19.666666666666668,-11.5,0.6633333333333334,-0.02499999999999991,3.266666666666667,-0.9666666666666663,0.0,0.0,0.0,21.0,0.0,1.0,3.1,,,,,1.0,23.75,1,3.5,19.23,16.00,7.84125,11,0,0,0,20.0
BUF,WR,Brandin Cooks,00-0031236,14,0.0,0.0,0.36,0.0,,0.0,-1.0,0.0,0.0,0.0,0.3333333333333333,-1.0952380952380953,4.333333333333333,-6.809523809523809,0.3633333333333333,-0.15095238095238095,0.7666666666666666,-1.4476190476190478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,33.5,0,6.0,15.46,15.00,7.979333333333333,11,0,0,0,20.0
NO,WR,Brandin Cooks,00-0031236,2,2.0,25.0,0.68,0.058823529411764705,,0.0,-2.0,0.0,0.0,0.0,3.0,0.0,21.5,0.0,0.72,0.0,5.1,0.0,0.0,0.0,0.0,13.0,0.0,1.0,2.3,,,,,1.04,25.0,1,3.0,20.23,18.62,8.196562835660579,11,0,0,0,20.0
LA,WR,Davante Adams,00-0031381,5,11.0,171.0,0.85,0.23404255319148937,33.4969726722304,0.0,5.0,0.0,0.0,0.0,8.333333333333334,-0.8666666666666654,121.66666666666667,7.066666666666677,0.8466666666666667,-0.0013333333333334085,14.666666666666666,-1.0733333333333341,0.6666666666666666,0.06666666666666665,0.0,8.0,0.0,0.45454545454545453,1.2545454545454546,33.4969726722304,2.7255687946603584,6.570000000000001,-2.0954976559120584,0.5146198830409356,20.25,0,8.5,20.23,18.62,8.196562835660579,11,0,0,0,53.0
LA,WR,Davante Adams,00-0031381,1,8.0,70.0,0.9,0.27586206896551724,31.3154029741142,0.0,0.0,0.0,0.0,0.0,8.0,0.0,70.0,0.0,0.9,0.0,9.100000000000001,0.0,0.0,0.0,0.0,6.375,0.0,0.5,1.1375000000000002,31.3154029741142,1.6192500832808887,6.7925,0.9159830844986061,0.7285714285714285,9.75,0,3.5,15.08,18.08,7.049778761061948,11,0,0,0,53.0
LA,WR,Davante Adams,00-0031381,11,8.0,81.0,0.86,0.2857142857142857,50.23490161367196,1.0,0.0,0.0,0.0,0.0,7.666666666666667,-0.4761904761904754,107.33333333333333,0.4761904761904674,0.6566666666666666,-0.06190476190476202,16.599999999999998,0.3714285714285701,1.3333333333333333,0.19047619047619047,0.0,0.125,1.0,0.125,0.8875,50.23490161367196,1.8120523867358627,2.9299999999999997,,0.012345679012345678,18.5,0,3.0,14.62,18.85,5.758090185676393,11,0,0,0,53.0
